Designator,Mid X,Mid Y,Rotation,Layer
PAD1,163.7411,-152.7046,0.0,top
PAD10,181.5211,-166.2136,0.0,top
PAD11,115.4811,-166.2136,0.0,top
PAD12,180.2511,-57.4546,0.0,top
PAD13,115.4811,-43.7894,0.0,top
PAD14,181.5211,-43.7894,0.0,top
PAD15,173.907433,-140.6396,0.0,top
PAD16,173.9011,-152.7046,0.0,top
PAD17,127.5461,-129.8446,0.0,top
PAD18,141.5161,-129.8446,0.0,top
PAD19,155.4861,-129.8446,0.0,top
PAD2,143.4211,-152.7046,0.0,top
PAD20,169.4561,-129.8446,0.0,top
PAD21,127.5461,-113.3346,0.0,top
PAD22,141.5161,-113.3346,0.0,top
PAD23,155.4861,-113.3346,0.0,top
PAD24,169.4561,-113.3346,0.0,top
PAD25,116.881067,-57.454633,0.0,top
PAD26,116.7511,-82.8546,0.0,top
PAD3,123.094733,-152.7046,0.0,top
PAD30,112.934733,-152.7046,0.0,top
PAD31,112.934733,-140.618833,0.0,top
PAD32,184.054733,-152.7046,0.0,top
PAD33,184.054733,-140.618833,0.0,top
PAD34,180.2511,-82.8546,0.0,top
PAD4,123.094733,-140.618833,0.0,top
PAD5,133.2611,-140.6396,0.0,top
PAD6,153.5811,-152.7046,0.0,top
PAD7,143.4211,-140.6396,0.0,top
PAD8,153.5811,-140.6396,0.0,top
PAD9,163.7411,-140.6396,0.0,top
UNK_HOLE_0,131.9911,-54.2796,0.0,top
UNK_HOLE_1,130.7211,-61.719833,0.0,top
UNK_HOLE_2,166.2811,-61.719833,0.0,top
UNK_HOLE_3,165.0111,-54.2796,0.0,top
UNK_HOLE_4,112.9411,-123.4946,0.0,top
UNK_HOLE_5,184.0611,-123.4946,0.0,top
UNK_HOLE_6,133.2611,-152.7046,0.0,top
